# Characters to never propose in pick_words.txt
# One character per line. Lines starting with # are ignored.
# Example:
# 的
# 了
# 是

的
了
不 | Bù | No
么 | Me | What?
乒 | Pīng | ping
乓 | Pāng | pong
俄 | É | Russian
伦 | Lún | London
们 | Men | them
叶 | Yè | leaf
哈 | Hā | ha


乌 | Wū | black
乎 | Hū | almost
了 | Le | Got it
亚 | Yà | Asia
什 | Shén | Varied
仔 | Zǐ | young
以 | Yǐ | by
使 | Shǐ | make
侠 | Xiá | Xia
候 | Hòu | wait
儿 | Er | Son
充 | Chōng | charge
兔 | Tù | rabbit
其 | Qí | That
具 | Jù | Tool
冲 | Chōng | rush
功 | Gōng | achievement
助 | Zhù | help
匙 | Shi | spoon
卧 | Wò | lie down
印 | Yìn | print
厅 | Tīng | hall
厕 | Cè | toilet
厘 | Lí | centimeters
厨 | Chú | kitchen
参 | Cān | ginseng
友 | Yǒu | friend
句 | Jù | sentence
吗 | Ma | ?
命 | Mìng | life
咖 | Kā | coffee
哑 | Yǎ | dumb
哥 | Gē | elder brother
唱 | Chàng | Sing
啡 | Fēi | coffee
啤 | Pí | beer
喽 | Lóu | Here
回 | Huí | return
國 | Guó | country
圳 | Zhèn | Shen
圾 | Jī | garbage
垃 | Lā | garbage
城 | Chéng | city
声 | Shēng | Voice
夫 | Fū | husband
失 | Shī | lose
套 | Tào | set
女 | Nǚ | female
妆 | Zhuāng | makeup
妹 | Mèi | sister
始 | Shǐ | beginning
姐 | Jiě | sister
子 | Zǐ | son
孩 | Hái | child
安 | Ān | install
定 | Dìng | Certainly
宜 | Yí | should
客 | Kè | guest
室 | Shì | room
密 | Mì | dense
尸 | Shī | corpse
尼 | Ní | Nigeria
尽 | Jǐn | exhaust
州 | Zhōu | state
希 | Xī | hope
帮 | Bāng | help
帽 | Mào | cap
广 | Guǎng | wide
应 | Yīng | answer
弟 | Dì | younger brother
影 | Yǐng | film
得 | Dé | have to
快 | Kuài | quick
怎 | Zěn | How
思 | Sī | think
悉 | Xī | Know
惊 | Jīng | shock
或 | Huò | or
房 | Fáng | house
披 | Pī | Phi
搞 | Gǎo | do
撸 | Lū | Lust
敦 | Dūn | Dun
文 | Wén | arts
斑 | Bān | spot
斤 | Jīn | catty
斯 | Sī | Sri Lanka
旁 | Páng | beside
旅 | Lǚ | trip
昨 | Zuó | yesterday
朋 | Péng | friend
望 | Wàng | see
期 | Qī | Expect
朵 | Duǒ | Duo
李 | Lǐ | plum
杨 | Yáng | Yang
林 | Lín | Forest
架 | Jià | shelf
柠 | Níng | lemon
柿 | Shì | persimmon
校 | Xiào | school
桌 | Zhuō | table
棕 | Zōng | brown
森 | Sēn | forest
椅 | Yǐ | chair
椒 | Jiāo | pepper
榴 | Liú | pomegranate
橘 | Jú | Orange
橙 | Chéng | orange
檬 | Méng | lemon
歌 | Gē | Song
母 | Mǔ | mother
气 | Qì | gas
水 | Shuǐ | water
汉 | Hàn | Chinese
汽 | Qì | steam
没 | Méi | without
治 | Zhì | rule
波 | Bō | Wave
泰 | Tài | Thai
泳 | Yǒng | swimming
洁 | Jié | clean
洋 | Yáng | foreign
浪 | Làng | wave
海 | Hǎi | ocean
温 | Wēn | temperature
滩 | Tān | beach
滴 | Dī | drop
澳 | Ào | Australia
激 | Jī | exciting
灰 | Huī | Ash
烤 | Kǎo | bake
然 | Rán | Ran
爬 | Pá | climb
爷 | Yé | Lord
犀 | Xī | rhinoceros
狐 | Hú | fox
狗 | Gǒu | dog
狮 | Shī | lion
狸 | Lí | raccoon
猎 | Liè | hunting
猕 | Mí | macaque
猫 | Māo | cat
猴 | Hóu | monkey
玉 | Yù | Jade
王 | Wáng | king
玫 | Méi | rose
琴 | Qín | piano
瑰 | Guī | Rose
瓜 | Guā | melon
男 | Nán | male
